"MonitoringLocationIdentifier","lake","sample.depth","Collection_Date","Anatoxin.A","Cylindrospermopsin","Microcystin.LA","Microcystin.LF","Microcystin.LR","Microcystin.LW","Microcystin.RR","Saxitoxin","mcla","mclf","mclr","mclw","mcrr","mc.total.cor"
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-07-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-07-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-08-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-08-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-08-21",0,0,0,0,0.9,0,0,0,0,0,0.9,0,0,0.9
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-08-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-09-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2007-09-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-06-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-06-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-06-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-07-01",1.6,5.1,9.1,12,6.9,10.5,8.9,0,4.368,8.64,6.9,10.71,4.717,35.335
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-07-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-07-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-07-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-07-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-07-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-08-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-08-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-08-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-08-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-09-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-09-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-09-16",0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-09-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LMT1CARTER03","CARTER","EPI","2008-09-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2007-07-23",1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2007-08-06",1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2007-08-20",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2007-09-04",0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-06-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-06-17",1.5,4.9,0,13.5,7.7,11.7,10,0,0,9.72,7.7,11.934,5.3,34.654
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-06-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-07-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-07-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-07-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-07-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-07-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-08-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-08-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-08-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-08-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-09-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-09-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-09-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-09-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-09-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2004","FREMONT EAST","EPI","2008-10-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-04-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-04-24",0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-04-24",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-05-22",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-05-22",0.2,0,0,0,0,0,0,0.7,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-06-04",0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-06-04",0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-06-18",0.6,0,0,0,0,0,0,0.2,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-06-18",0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-07-02",0.1,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-07-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-07-16",1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-07-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-07-30",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-07-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-08-13",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-08-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-08-28",0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-08-28",0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-09-12",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-09-12",0.6,0,1.5,0,0,0,0,0,0.72,0,0,0,0,0.72
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-09-24",2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-09-24",0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","HYPO","2007-10-10",1.2,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2001","FREMONT SITE 1","EPI","2007-10-11",1.2,0,0,0,0,0,0,1,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-04-10",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-04-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-04-24",0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-05-22",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-05-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-06-04",0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-06-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-06-18",0.4,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-06-18",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-07-02",0.4,0,0,0,0,0,0,1.2,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-07-02",0,0,0,0,0,0,0,1.3,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-07-16",0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-07-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-07-30",2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-07-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-08-13",1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-08-13",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-08-28",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-08-28",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-09-12",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-09-12",0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-09-24",2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-09-24",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","EPI","2007-10-10",1,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"21NEB001_WQX-LLP1FRMT2002","FREMONT SITE 2","HYPO","2007-10-10",1.4,0,0,0,0,0,0,0.8,0,0,0,0,0,0
